	Precision	Recall	F1
0.5	0.66	0.70212764	0.68041235
0.55	0.66	0.70212764	0.68041235
0.6000000000000001	0.66	0.70212764	0.68041235
0.6500000000000001	0.64	0.68085104	0.6597938
0.7000000000000002	0.62	0.65957445	0.63917524
0.7500000000000002	0.56	0.59574467	0.57731956
0.8000000000000003	0.46	0.4893617	0.4742268
0.8500000000000003	0.24	0.25531915	0.24742268
0.9000000000000004	0.04	0.04255319	0.041237112
0.9500000000000004	0.0	0.0	0.0
