599788032	16 
910167040	25 
1379929600	39 
1950354944	56 
2118127104	61 
1916800512	55 
1950354432	56 
1715473408	49 
1447037952	41 
1681918976	48 
1816136704	52 
1681918976	48 
1648364544	47 
1614810624	46 
1614810624	46 
1413484032	40 
1480592896	42 
1547701760	43 
1614810624	46 
1681919488	48 
1816137216	52 
1849691648	53 
1883245568	54 
2017463296	58 
1681919488	48 
1749027840	50 
1816136704	52 
1782582272	51 
1480592384	42 
1547701248	44 
1413483520	40 
1245711872	35 
1245711872	35 
1245711872	35 
1480592896	42 
1413484032	40 
1514147328	43 
1614810624	46 
1648365056	47 
1547701760	43 
1547698688	44 
1514147328	43 
1547701760	43 
1715473920	49 
1816137216	52 
1681919488	47 
1715473920	49 
1715473920	49 
1614810624	46 
